di	sease	Group	PKM2	LDHA	LCP1	ACSF2	MECP2	ARF1	MSN	CTNNB1
AD	_170_04-06	1	10.20643621	11.12092203	8.457196013	7.007169805	6.842738397	10.66818443	9.065673344	7.499721847
AD	_171_05-01	1	10.20739424	10.75876309	8.263121194	6.997912553	6.806800076	10.66090942	9.097226442	8.065136101
AD	_172_03-40	1	10.10268209	10.40226119	7.881804237	7.329666875	6.740070409	10.63280783	9.527195479	7.483516514
AD	_173_03-54	1	9.826615468	11.05120731	9.093271054	7.529798292	6.935646176	10.00750832	9.759179665	7.451677229
AD	_174_05-25	1	10.04057706	11.82566057	8.215611047	6.706222591	6.799543396	10.98975446	8.7405841	7.525378308
AD	_175_98-12	1	9.098125146	11.50712738	9.036673652	6.701910743	6.896483884	10.94019374	8.889855372	7.902070664
AD	_185_05-19	1	9.051754038	11.26427581	8.529805746	6.799401498	6.620979968	10.6953651	8.802605605	7.47229527
ND	_186_95-30	0	9.730912696	11.95812933	7.310999072	6.638707806	6.883333275	10.74032351	7.938225759	7.857020755
ND	_187_95-36	0	9.731232927	11.46091529	7.935942341	6.784357364	6.752194504	10.78689091	8.718842673	7.707167717
ND	_188_95-38	0	9.615560778	10.93423883	7.761176506	7.01518686	6.757807243	11.02536125	8.90558401	7.725540005
ND	_189_95-03	0	8.945821147	11.7028128	8.488550137	6.675062599	6.813662865	10.76636692	8.611122624	8.181171658
AD	_190_99-24	1	8.329718374	10.40745725	8.584849288	7.501956246	6.334701136	9.940364949	9.374147215	7.272499219
AD	_191_07-02	1	8.395765169	10.42513745	8.346736024	7.133916802	6.527764364	10.24569153	9.081392155	7.666676764
AD	_192_03-19	1	9.085465809	11.15026959	7.40942588	7.019271014	6.81312334	10.82745756	8.779938839	7.771984379
AD	_193_01-33	1	10.14617231	9.426588066	7.084127958	7.775638465	6.154435356	10.83121638	8.52162755	7.242000212
AD	_194_05-57	1	8.492452276	10.34097145	8.798398729	7.29200363	6.476730102	10.47601973	9.403551219	7.657655704
AD	_195_08-59	1	9.022278456	10.81652556	8.40082542	7.276930933	6.739296413	10.68641529	8.740112321	7.202023947
AD	_196_99-06	1	8.72652859	10.67810787	8.090197207	6.94278576	6.708845085	10.55505059	9.027601215	7.945012845
AD	_197_00-47	1	8.684190529	9.93047132	8.704078733	7.858228563	6.255268521	10.48915173	9.512677239	7.314362236
AD	_198_01-13	1	8.513859766	9.83980561	7.892844537	7.641460521	6.234039021	10.48220133	8.880503449	7.206140358
AD	_199_98-18	1	9.108704414	11.96509229	8.887875815	6.55700213	6.882374536	10.72247298	8.936367271	7.800217492
ND	_200_94-35	0	8.909486116	11.49362023	8.732204843	6.742774953	6.823742256	10.87783758	8.833285917	7.668657487
AD	_176_96-04	1	9.829111601	11.47566738	8.031849404	6.95845675	7.043960063	10.5320379	9.061935088	8.00483948
AD	_177_97-39	1	8.999419949	10.52758852	8.221287412	7.259037574	6.696051964	10.46602708	9.385644013	7.463620892
AD	_178_97-48	1	8.821539727	10.74635459	9.238639091	7.531422806	6.224174406	10.31268394	10.10852112	7.061565722
AD	_179_98-07	1	9.428822247	11.5586381	7.88073402	6.784297515	6.739658101	10.39936109	8.500340689	7.202023947
AD	_180_96-21	1	9.438789092	10.62722031	8.622693244	6.818230924	6.651724695	10.34635494	8.838966362	7.212076367
AD	_181_98-10	1	9.600937517	10.9614592	7.920466404	6.829630415	6.723510782	10.6953651	8.532486572	7.216104161
AD	_182_95-31	1	9.417133691	11.02969784	8.185756428	7.009014144	6.641738989	10.55381826	8.471819008	7.362528117
ND	_13_96-45	0	11.22347083	11.88528127	7.04562822	6.731347459	7.077565819	10.54287963	8.464531265	7.429606441
ND	_19_98-33	0	10.82745756	11.6391465	9.016375361	7.099298719	7.150749574	10.43353585	9.603016939	7.430499048
ND	_14_97-09	0	10.99459537	11.56300683	7.337731186	6.881083099	7.216774931	10.53099233	8.671890744	7.97464339
ND	_20_99-29	0	11.40093548	12.21571817	7.563656366	6.538081944	7.417324303	10.87495714	9.231683377	7.706114431
ND	_15_97-10	0	11.04367292	11.0086187	7.584858487	7.170530252	7.027082094	10.77932925	9.540369672	7.301717244
ND	_21_99-22	0	10.73373427	11.17567642	8.604116841	6.943811356	7.303371056	10.63631707	9.671550212	7.469266589
ND	_16_97-02	0	11.3666471	12.029523	7.092895706	6.503821867	7.380888513	10.77013288	8.438265776	7.748086445
ND	_22_99-02	0	10.92250414	12.08467436	9.282205973	6.961024663	7.239735204	10.61059485	9.729236599	7.87310137
ND	_17_97-14	0	10.92529159	10.8597601	7.689252396	7.566433608	6.910873882	10.55062659	9.893845788	7.849681078
ND	_23_98-22	0	11.1844072	11.51624808	8.855462719	6.875239515	7.318442989	10.93129155	9.748925816	7.623393091
ND	_18_97-37	0	11.32700056	12.31955151	7.152918728	6.73849309	7.226888561	10.64799963	8.568750901	7.901405679
ND	_24_98-32	0	11.28465081	12.21971351	7.680086305	6.572208693	7.436452208	10.81382341	8.810075753	8.047205457
